



User ID: 0


Parameters of the Don generation
Type=7, min=50, max=1500
Lambda=1, k=1, alpha=1.1, xm=0.081, avg=750, sigma=150
Internal stats of the Don generation: 100000 values, mean=50.108

Distribution of the Don generation
Distrib_type;Start_of_range;Number_of_times
Don;1065;0
Don;1079;0
Don;1094;0
Don;1108;0
Don;1123;0
Don;1137;0
Don;1152;1
Don;1166;0
Don;1181;0
Don;1195;0
Don;1210;0
Don;1224;0
Don;1239;0
Don;1253;0
Don;1268;0
Don;1282;0
Don;1297;0
Don;1311;1
Don;1326;0
Don;1340;0
Don;1355;0
Don;1369;0
Don;1384;0
Don;1398;0
Don;1413;0
Don;1427;0
Don;1442;0
Don;1456;0
Don;1471;0
Don;1485;0
Don;1500;2


Parameters of the Doff generation
Type=5, min=1000, max=1950000
Lambda=0.28, k=0.74, alpha=0.36, xm=1, avg=975000, sigma=195000
Internal stats of the Doff generation: 100000 values, mean=974329

Distribution of the Doff generation
Distrib_type;Start_of_range;Number_of_times
Doff;1000;0
Doff;20490;0
Doff;39980;0
Doff;59470;0
Doff;78960;1
Doff;98450;0
Doff;117940;2
Doff;137430;0
Doff;156920;1
Doff;176410;2
Doff;195900;1
Doff;215390;3
Doff;234880;2
Doff;254370;7
Doff;273860;5
Doff;293350;10
Doff;312840;12
Doff;332330;23
Doff;351820;38
Doff;371310;35
Doff;390800;56
Doff;410290;63
Doff;429780;97
Doff;449270;123
Doff;468760;129
Doff;488250;198
Doff;507740;266
Doff;527230;301
Doff;546720;405
Doff;566210;503
Doff;585700;544
Doff;605190;693
Doff;624680;877
Doff;644170;1066
Doff;663660;1243
Doff;683150;1445
Doff;702640;1605
Doff;722130;1851
Doff;741620;2012
Doff;761110;2294
Doff;780600;2525
Doff;800090;2854
Doff;819580;3041
Doff;839070;3256
Doff;858560;3396
Doff;878050;3661
Doff;897540;3792
Doff;917030;3954
Doff;936520;3827
Doff;956010;4098
Doff;975500;3967
Doff;994990;3914
Doff;1014480;3874
Doff;1033970;3810
Doff;1053460;3574
Doff;1072950;3470
Doff;1092440;3156
Doff;1111930;3001
Doff;1131420;2808
Doff;1150910;2506
Doff;1170400;2225
Doff;1189890;1959
Doff;1209380;1800
Doff;1228870;1580
Doff;1248360;1463
Doff;1267850;1243
Doff;1287340;986
Doff;1306830;804
Doff;1326320;684
Doff;1345810;607
Doff;1365300;503
Doff;1384790;380
Doff;1404280;307
Doff;1423770;234
Doff;1443260;216
Doff;1462750;174
Doff;1482240;113
Doff;1501730;78
Doff;1521220;71
Doff;1540710;37
Doff;1560200;42
Doff;1579690;29
Doff;1599180;21
Doff;1618670;14
Doff;1638160;11
Doff;1657650;8
Doff;1677140;4
Doff;1696630;2
Doff;1716120;3
Doff;1735610;0
Doff;1755100;1
Doff;1774590;1
Doff;1794080;1
Doff;1813570;1
Doff;1833060;1
Doff;1852550;0
Doff;1872040;0
Doff;1891530;0
Doff;1911020;0
Doff;1930510;0
Doff;1950000;0




User ID: 4


Parameters of the Don generation
Type=7, min=50, max=1500
Lambda=1, k=1, alpha=1.1, xm=0.081, avg=750, sigma=150
Internal stats of the Don generation: 100000 values, mean=50.1468

Distribution of the Don generation
Distrib_type;Start_of_range;Number_of_times
Don;50;99933
Don;64;17
Don;79;13
Don;93;4
Don;108;0
Don;122;6
Don;137;3
Don;151;1
Don;166;0
Don;180;1
Don;195;1
Don;209;1
Don;224;0
Don;238;1
Don;253;0
Don;267;2
Don;282;0
Don;296;2
Don;311;1
Don;325;1
Don;340;2
Don;354;0
Don;369;0
Don;383;0
Don;398;0
Don;412;0
Don;427;0
Don;441;0
Don;456;0
Don;470;0
Don;485;1
Don;499;1
Don;514;0
Don;528;1
Don;543;1
Don;557;0
Don;572;0
Don;586;0
Don;601;1
Don;615;0
Don;630;0
Don;644;0
Don;659;1
Don;673;0
Don;688;0
Don;702;0
Don;717;0
Don;731;0
Don;746;0
Don;760;0
Don;775;0
Don;789;0
Don;804;0
Don;818;0
Don;833;0
Don;847;0
Don;862;0
Don;876;0
Don;891;0
Don;905;0
Don;920;0
Don;934;0
Don;949;0
Don;963;0
Don;978;0
Don;992;0
Don;1007;0
Don;1021;0
Don;1036;0
Don;1050;0
Don;1065;1
Don;1079;0
Don;1094;0
Don;1108;0
Don;1123;0
Don;1137;0
Don;1152;0
Don;1166;0
Don;1181;0
Don;1195;0
Don;1210;0
Don;1224;0
Don;1239;0
Don;1253;0
Don;1268;0
Don;1282;0
Don;1297;0
Don;1311;0
Don;1326;0
Don;1340;0
Don;1355;0
Don;1369;0
Don;1384;0
Don;1398;0
Don;1413;0
Don;1427;0
Don;1442;0
Don;1456;0
Don;1471;0
Don;1485;0
Don;1500;4


Parameters of the Doff generation
Type=5, min=1000, max=1950000
Lambda=0.28, k=0.74, alpha=0.36, xm=1, avg=975000, sigma=195000
Internal stats of the Doff generation: 100000 values, mean=974501

Distribution of the Doff generation
Distrib_type;Start_of_range;Number_of_times
Doff;1000;0
Doff;20490;0
Doff;39980;0
Doff;59470;0
Doff;78960;0
Doff;98450;0
Doff;117940;0
Doff;137430;1
Doff;156920;0
Doff;176410;0
Doff;195900;1
Doff;215390;5
Doff;234880;3
Doff;254370;6
Doff;273860;9
Doff;293350;15
Doff;312840;11
Doff;332330;17
Doff;351820;34
Doff;371310;37
Doff;390800;55
Doff;410290;54
Doff;429780;95
Doff;449270;135
Doff;468760;164
Doff;488250;198
Doff;507740;241
Doff;527230;289
Doff;546720;421
Doff;566210;497
Doff;585700;616
Doff;605190;749
Doff;624680;847
Doff;644170;1056
Doff;663660;1206
Doff;683150;1355
Doff;702640;1646
Doff;722130;1861
Doff;741620;2042
Doff;761110;2288
Doff;780600;2494
Doff;800090;2814
Doff;819580;3110
Doff;839070;3283
Doff;858560;3459
Doff;878050;3686
Doff;897540;3654
Doff;917030;3909
Doff;936520;3978
Doff;956010;3894
Doff;975500;3995
Doff;994990;3953
Doff;1014480;3872
Doff;1033970;3700
Doff;1053460;3646
Doff;1072950;3339
Doff;1092440;3151
Doff;1111930;3026
Doff;1131420;2768
Doff;1150910;2525
Doff;1170400;2338
Doff;1189890;1993
Doff;1209380;1781
Doff;1228870;1581
Doff;1248360;1434
Doff;1267850;1184
Doff;1287340;1031
Doff;1306830;882
Doff;1326320;700
Doff;1345810;612
Doff;1365300;497
Doff;1384790;401
Doff;1404280;316
Doff;1423770;250
Doff;1443260;187
Doff;1462750;149
Doff;1482240;114
Doff;1501730;101
Doff;1521220;71
Doff;1540710;44
Doff;1560200;33
Doff;1579690;27
Doff;1599180;15
Doff;1618670;19
Doff;1638160;11
Doff;1657650;9
Doff;1677140;4
Doff;1696630;3
Doff;1716120;1
Doff;1735610;2
Doff;1755100;0
Doff;1774590;0
Doff;1794080;0
Doff;1813570;0
Doff;1833060;0
Doff;1852550;0
Doff;1872040;0
Doff;1891530;0
Doff;1911020;0
Doff;1930510;0
Doff;1950000;0




User ID: 5


Parameters of the Don generation
Type=7, min=50, max=1500
Lambda=1, k=1, alpha=1.1, xm=0.081, avg=750, sigma=150
Internal stats of the Don generation: 100000 values, mean=50.1138

Distribution of the Don generation
Distrib_type;Start_of_range;Number_of_times
Don;50;99942
Don;64;10
Don;79;12
Don;93;7
Don;108;4
Don;122;3
Don;137;0
Don;151;2
Don;166;2
Don;180;1
Don;195;1
Don;209;1
Don;224;1
Don;238;2
Don;253;0
Don;267;0
Don;282;0
Don;296;1
Don;311;2
Don;325;1
Don;340;0
Don;354;0
Don;369;0
Don;383;1
Don;398;0
Don;412;1
Don;427;0
Don;441;0
Don;456;0
Don;470;0
Don;485;0
Don;499;0
Don;514;0
Don;528;0
Don;543;0
Don;557;0
Don;572;0
Don;586;0
Don;601;0
Don;615;0
Don;630;1
Don;644;0
Don;659;0
Don;673;0
Don;688;0
Don;702;0
Don;717;0
Don;731;0
Don;746;0
Don;760;1
Don;775;0
Don;789;0
Don;804;0
Don;818;0
Don;833;0
Don;847;0
Don;862;0
Don;876;0
Don;891;0
Don;905;1
Don;920;0
Don;934;0
Don;949;0
Don;963;0
Don;978;0
Don;992;0
Don;1007;0
Don;1021;0
Don;1036;0
Don;1050;0
Don;1065;0
Don;1079;0
Don;1094;0
Don;1108;0
Don;1123;0
Don;1137;0
Don;1152;0
Don;1166;0
Don;1181;0
Don;1195;0
Don;1210;0
Don;1224;0
Don;1239;0
Don;1253;0
Don;1268;0
Don;1282;0
Don;1297;0
Don;1311;0
Don;1326;0
Don;1340;0
Don;1355;0
Don;1369;0
Don;1384;0
Don;1398;0
Don;1413;0
Don;1427;0
Don;1442;0
Don;1456;0
Don;1471;1
Don;1485;0
Don;1500;2


Parameters of the Doff generation
Type=5, min=1000, max=1950000
Lambda=0.28, k=0.74, alpha=0.36, xm=1, avg=975000, sigma=195000
Internal stats of the Doff generation: 100000 values, mean=974939

Distribution of the Doff generation
Distrib_type;Start_of_range;Number_of_times
Doff;1000;0
Doff;20490;0
Doff;39980;0
Doff;59470;0
Doff;78960;0
Doff;98450;0
Doff;117940;0
Doff;137430;0
Doff;156920;1
Doff;176410;1
Doff;195900;2
Doff;215390;1
Doff;234880;9
Doff;254370;11
Doff;273860;4
Doff;293350;11
Doff;312840;14
Doff;332330;23
Doff;351820;37
Doff;371310;39
Doff;390800;49
Doff;410290;64
Doff;429780;94
Doff;449270;115
Doff;468760;155
Doff;488250;206
Doff;507740;287
Doff;527230;313
Doff;546720;389
Doff;566210;497
Doff;585700;573
Doff;605190;712
Doff;624680;856
Doff;644170;1039
Doff;663660;1241
Doff;683150;1362
Doff;702640;1631
Doff;722130;1846
Doff;741620;2028
Doff;761110;2286
Doff;780600;2502
Doff;800090;2800
Doff;819580;3115
Doff;839070;3178
Doff;858560;3382
Doff;878050;3564
Doff;897540;3769
Doff;917030;3984
Doff;936520;3974
Doff;956010;4081
Doff;975500;3949
Doff;994990;3919
Doff;1014480;3848
Doff;1033970;3714
Doff;1053460;3582
Doff;1072950;3471
Doff;1092440;3216
Doff;1111930;3058
Doff;1131420;2738
Doff;1150910;2499
Doff;1170400;2271
Doff;1189890;2008
Doff;1209380;1821
Doff;1228870;1581
Doff;1248360;1342
Doff;1267850;1195
Doff;1287340;1061
Doff;1306830;880
Doff;1326320;732
Doff;1345810;576
Doff;1365300;508
Doff;1384790;388
Doff;1404280;346
Doff;1423770;217
Doff;1443260;216
Doff;1462750;138
Doff;1482240;128
Doff;1501730;102
Doff;1521220;88
Doff;1540710;42
Doff;1560200;32
Doff;1579690;30
Doff;1599180;19
Doff;1618670;11
Doff;1638160;5
Doff;1657650;8
Doff;1677140;7
Doff;1696630;1
Doff;1716120;4
Doff;1735610;1
Doff;1755100;1
Doff;1774590;1
Doff;1794080;0
Doff;1813570;1
Doff;1833060;0
Doff;1852550;0
Doff;1872040;0
Doff;1891530;0
Doff;1911020;0
Doff;1930510;0
Doff;1950000;0




User ID: 6


Parameters of the Don generation
Type=7, min=50, max=1500
Lambda=1, k=1, alpha=1.1, xm=0.081, avg=750, sigma=150
Internal stats of the Don generation: 100000 values, mean=50.1651

Distribution of the Don generation
Distrib_type;Start_of_range;Number_of_times
Don;50;99925
Don;64;11
Don;79;11
Don;93;8
Don;108;7
Don;122;3
Don;137;4
Don;151;4
Don;166;0
Don;180;2
Don;195;2
Don;209;1
Don;224;1
Don;238;0
Don;253;2
Don;267;1
Don;282;0
Don;296;0
Don;311;2
Don;325;1
Don;340;2
Don;354;1
Don;369;0
Don;383;0
Don;398;0
Don;412;2
Don;427;1
Don;441;1
Don;456;0
Don;470;0
Don;485;0
Don;499;0
Don;514;0
Don;528;0
Don;543;0
Don;557;0
Don;572;0
Don;586;0
Don;601;1
Don;615;0
Don;630;0
Don;644;0
Don;659;0
Don;673;0
Don;688;0
Don;702;0
Don;717;0
Don;731;0
Don;746;0
Don;760;0
Don;775;0
Don;789;1
Don;804;0
Don;818;0
Don;833;0
Don;847;0
Don;862;0
Don;876;0
Don;891;0
Don;905;0
Don;920;0
Don;934;0
Don;949;0
Don;963;0
Don;978;0
Don;992;1
Don;1007;0
Don;1021;0
Don;1036;1
Don;1050;0
Don;1065;0
Don;1079;0
Don;1094;0
Don;1108;0
Don;1123;0
Don;1137;0
Don;1152;0
Don;1166;0
Don;1181;0
Don;1195;0
Don;1210;0
Don;1224;0
Don;1239;0
Don;1253;0
Don;1268;0
Don;1282;0
Don;1297;0
Don;1311;0
Don;1326;0
Don;1340;0
Don;1355;0
Don;1369;0
Don;1384;0
Don;1398;0
Don;1413;0
Don;1427;0
Don;1442;0
Don;1456;0
Don;1471;0
Don;1485;1
Don;1500;3


Parameters of the Doff generation
Type=5, min=1000, max=1950000
Lambda=0.28, k=0.74, alpha=0.36, xm=1, avg=975000, sigma=195000
Internal stats of the Doff generation: 100000 values, mean=974662

Distribution of the Doff generation
Distrib_type;Start_of_range;Number_of_times
Doff;1000;0
Doff;20490;0
Doff;39980;0
Doff;59470;0
Doff;78960;0
Doff;98450;0
Doff;117940;0
Doff;137430;0
Doff;156920;1
Doff;176410;0
Doff;195900;1
Doff;215390;5
Doff;234880;1
Doff;254370;10
Doff;273860;9
Doff;293350;8
Doff;312840;15
Doff;332330;24
Doff;351820;30
Doff;371310;33
Doff;390800;55
Doff;410290;68
Doff;429780;82
Doff;449270;113
Doff;468760;161
Doff;488250;199
Doff;507740;226
Doff;527230;318
Doff;546720;417
Doff;566210;524
Doff;585700;591
Doff;605190;693
Doff;624680;940
Doff;644170;1018
Doff;663660;1202
Doff;683150;1491
Doff;702640;1583
Doff;722130;1881
Doff;741620;2051
Doff;761110;2279
Doff;780600;2585
Doff;800090;2769
Doff;819580;3041
Doff;839070;3238
Doff;858560;3514
Doff;878050;3658
Doff;897540;3687
Doff;917030;3916
Doff;936520;3886
Doff;956010;3875
Doff;975500;4017
Doff;994990;3902
Doff;1014480;3772
Doff;1033970;3737
Doff;1053460;3589
Doff;1072950;3387
Doff;1092440;3319
