Time Scale; Number of Packets; Total data; 
322; 1708586; 85703762.000000; 
323; 1706310; 85588522.000000; 
324; 1716254; 86087521.000000; 
325; 1695999; 85072103.000000; 
326; 1715904; 86069650.000000; 
327; 1697576; 85152929.000000; 
328; 1715422; 86049566.000000; 
329; 1698940; 85219327.000000; 
330; 1715881; 86068402.000000; 
331; 1715412; 86048474.000000; 
332; 1698415; 85194411.000000; 
333; 1711482; 85848601.000000; 
334; 1695583; 85051039.000000; 
335; 1714705; 86009402.000000; 
336; 1697723; 85158993.000000; 
337; 1715040; 86027971.000000; 
338; 1703399; 85443085.000000; 
339; 1708178; 85682907.000000; 
340; 1715821; 86066467.000000; 
341; 1697636; 85154276.000000; 
342; 3413727; 86078321.000000; 
343; 1694752; 85011024.000000; 
344; 1714810; 86017256.000000; 
345; 1698241; 85185543.000000; 
346; 1715842; 86067915.000000; 
347; 1710949; 85821892.000000; 
348; 1699511; 85249214.000000; 
349; 1714549; 86001825.000000; 
350; 1696705; 85107951.000000; 
351; 1714072; 85978855.000000; 
352; 1697080; 85124774.000000; 
353; 1713985; 85974561.000000; 
354; 1701310; 85337948.000000; 
355; 1708777; 85712761.000000; 
356; 1713880; 85969127.000000; 
357; 1696215; 85081972.000000; 
358; 1714111; 85979907.000000; 
359; 1695095; 85029492.000000; 
360; 1713827; 85967679.000000; 
361; 3408914; 85024661.000000; 
362; 1713043; 85927843.000000; 
363; 1709168; 85732726.000000; 
364; 1702667; 85410365.000000; 
365; 1713083; 85928996.000000; 
366; 1695655; 85053604.000000; 
367; 1712747; 85915363.000000; 
368; 1691951; 84868934.000000; 
369; 1714479; 85999731.000000; 
370; 1698781; 85209059.000000; 
371; 1711506; 85849887.000000; 
372; 1714857; 86017462.000000; 
373; 1694121; 84977815.000000; 
374; 1714620; 86006093.000000; 
375; 1694475; 84995890.000000; 
376; 1714721; 86010805.000000; 
377; 1696240; 85083775.000000; 
378; 1713943; 85971627.000000; 
379; 1707308; 85638936.000000; 
380; 1703292; 85437217.000000; 
381; 1715136; 86033397.000000; 
382; 1695796; 85060894.000000; 
383; 1714132; 85982777.000000; 
384; 1693916; 84966752.000000; 
385; 1714629; 86006494.000000; 
386; 1696592; 85101339.000000; 
387; 1714299; 85988877.000000; 
388; 1713538; 85951851.000000; 
389; 1697777; 85160742.000000; 
390; 1712743; 85910974.000000; 
391; 1696097; 85079757.000000; 
392; 3409734; 85955572.000000; 
393; 1698481; 85196002.000000; 
394; 1713363; 85942504.000000; 
395; 1703849; 85465777.000000; 
396; 3410733; 85615804.000000; 
397; 5125444; 86008945.000000; 
398; 1693331; 84938826.000000; 
399; 1714417; 85996283.000000; 
400; 1692794; 84910677.000000; 
401; 1714713; 86012056.000000; 
402; 1694874; 85018167.000000; 
403; 1714961; 86022786.000000; 
404; 1710855; 85816226.000000; 
405; 3409568; 85205877.000000; 
406; 1714863; 86018214.000000; 
407; 1696119; 85079065.000000; 
408; 1712915; 85920739.000000; 
409; 1696090; 85075275.000000; 
410; 1712224; 85886885.000000; 
411; 1701747; 85361758.000000; 
412; 1709485; 85747350.000000; 
413; 1713712; 85959819.000000; 
414; 1695254; 85033216.000000; 
415; 1715030; 86025449.000000; 
416; 1698492; 85196251.000000; 
417; 1715079; 86029937.000000; 
418; 1696460; 85095274.000000; 
419; 1712878; 85919099.000000; 
420; 1707696; 85658913.000000; 
421; 1701290; 85336272.000000; 
422; 1713393; 85943697.000000; 
423; 1696987; 85120095.000000; 
424; 1713889; 85968321.000000; 
425; 1695593; 85051514.000000; 
426; 1714412; 85995554.000000; 
427; 1697281; 85135371.000000; 
428; 1711209; 85834353.000000; 
429; 1713992; 85974261.000000; 
430; 1685822; 84560030.000000; 
431; 1714834; 86016398.000000; 
432; 1697231; 85133216.000000; 
433; 1711749; 85860986.000000; 
434; 1693496; 84945368.000000; 
435; 1712040; 85876102.000000; 
436; 1706115; 85580137.000000; 
437; 1704192; 85483542.000000; 
438; 1713906; 85969489.000000; 
439; 1694644; 85003456.000000; 
440; 1713920; 85971294.000000; 
441; 1697603; 85152353.000000; 
442; 1713470; 85947449.000000; 
443; 1692756; 84908905.000000; 
444; 1714282; 86001158.000000; 
445; 1712426; 85897976.000000; 
446; 1695094; 85025228.000000; 
447; 1713973; 85973663.000000; 
448; 1696144; 85079717.000000; 
449; 3410063; 85969024.000000; 
450; 1696176; 85084872.000000; 
451; 1713251; 85937892.000000; 
452; 1702594; 85403625.000000; 
453; 1706871; 85616714.000000; 
454; 1713432; 85947967.000000; 
455; 1695582; 85051181.000000; 
456; 1706969; 85622384.000000; 
457; 1695799; 85062414.000000; 
458; 1713239; 85935729.000000; 
459; 1694494; 84997053.000000; 
460; 1714370; 85993975.000000; 
461; 1709935; 85771396.000000; 
462; 1698458; 85194543.000000; 
463; 1713980; 85973516.000000; 
464; 1696586; 85099798.000000; 
465; 1713381; 85943273.000000; 
466; 1696189; 85081963.000000; 
467; 1713056; 85928158.000000; 
468; 1699299; 85237500.000000; 
469; 1710364; 85792143.000000; 
470; 1714908; 86019944.000000; 
471; 1694197; 84980656.000000; 
472; 1713544; 85953468.000000; 
